id,one,two
2006,267,237
2007,1167,1138
2008,468,20
2009,494,530
2010,1193,1121
2011,957,227
2012,1305,1248
2013,1207,1019
2014,943,829
2015,395,520
2016,620,625
2017,232,1078
2018,162,96
2019,667,435
2020,675,1122
2021,190,112
2022,590,844
2023,651,295
2024,101,118
2025,705,1109
2026,247,72
2027,344,342
2028,1165,1173
2029,243,1182
2030,516,739
2031,621,86
2032,168,187
2033,681,97
2034,615,198
2035,197,910
2036,1237,1181
2037,1019,1142
2038,489,684
2039,881,253
2040,702,991
2041,700,973
2042,335,926
2043,6,1099
2044,545,363
2045,458,992
2046,816,1238
2047,884,907
2048,58,125
2049,272,312
2050,1208,156
2051,649,47
2052,8,192
2053,479,417
2054,233,956
2055,303,1318
2056,144,1229
2057,391,801
2058,1177,131
2059,839,801
2060,389,14
2061,931,1156
2062,800,1158
2063,720,160
2064,1308,1159
2065,1173,28
2066,1047,819
2067,835,329
2068,310,1046
2069,956,1216
2070,736,835
2071,117,76
2072,1102,220
2073,231,88
2074,571,601
2075,1069,722
2076,216,455
2077,901,1031
2078,961,1227
2079,363,1254
2080,336,937
2081,950,157
2082,1023,319
2083,393,996
2084,1305,1025
2085,677,1239
2086,93,52
2087,882,819
2088,631,498
2089,531,726
2090,1145,1296
2091,1065,477
2092,730,1039
2093,1012,1318
2094,1094,173
2095,32,334
2096,207,1188
2097,320,1069
2098,1292,301
2099,148,779
2100,61,561
2101,717,1038
2102,419,140
2103,111,852
2104,22,741
2105,656,1040
2106,777,468
2107,413,670
2108,880,239
2109,675,1292
2110,488,638
2111,260,1
2112,391,697
2113,935,1076
2114,700,1143
2115,692,244
2116,1112,248
2117,539,574
2118,965,1125
2119,512,11
2120,1067,105
2121,366,221
2122,341,1238
2123,773,405
2124,589,293
2125,304,393
2126,832,150
2127,251,158
2128,853,64
2129,744,1313
2130,1256,1119
2131,659,175
2132,783,347
2133,841,589
2134,405,1079
2135,743,510
2136,1172,1194
2137,142,1138
2138,232,342
2139,909,534
2140,1086,366
2141,909,955
2142,656,584
2143,733,1308
2144,1008,223
2145,389,155
2146,623,1077
2147,674,57
2148,853,123
2149,822,431
2150,190,1076
2151,651,254
2152,1236,77
2153,1030,488
2154,341,1114
2155,508,166
2156,476,1187
2157,836,187
2158,875,977
2159,1225,58
2160,128,1134
2161,91,541
2162,1019,538
2163,431,443
2164,842,1226
2165,748,357
2166,419,1003
2167,1115,43
2168,854,10
2169,634,291
2170,1109,1136
2171,1098,1112
2172,202,367
2173,302,154
2174,958,1219
2175,978,1266
2176,1090,642
2177,352,371
2178,865,1017
2179,1126,993
2180,709,187
2181,972,1176
2182,791,580
2183,1252,581
2184,1039,1140
2185,938,62
2186,73,1053
2187,278,278
2188,739,171
2189,1165,293
2190,101,403
2191,990,404
2192,1309,285
2193,593,869
2194,527,526
2195,773,142
2196,422,941
2197,708,850
2198,519,155
2199,490,625
2200,885,665
2201,322,810
2202,535,989
2203,758,51
2204,1112,640
2205,782,1179
2206,472,286
2207,454,725
2208,67,1272
2209,681,742
2210,153,657
2211,1169,1165
2212,183,271
2213,1295,295
2214,1113,282
2215,991,1312
2216,2,300
2217,382,1286
2218,738,141
2219,79,525
2220,831,1220
2221,407,996
2222,574,341
2223,416,361
2224,795,1304
2225,1002,151
2226,784,943
2227,990,1235
2228,584,1025
2229,1005,1317
2230,900,713
2231,889,1
2232,967,952
2233,535,1314
2234,651,1219
2235,1154,1172
2236,1063,1296
2237,458,1067
2238,1095,1
2239,659,94
2240,842,140
2241,1169,1059
2242,394,915
2243,688,941
2244,556,643
2245,994,1020
2246,568,994
2247,360,429
2248,527,104
2249,1054,126
2250,400,238
2251,807,623
2252,671,63
2253,232,1062
2254,27,1202
2255,876,911
2256,288,1197
2257,259,359
2258,7,81
2259,891,5
2260,59,264
2261,1119,1033
2262,916,1117
2263,1053,715
2264,547,1018
2265,767,36
2266,1045,640
2267,680,570
2268,408,634
2269,567,840
2270,447,489
2271,971,82
2272,396,994
2273,1211,178
2274,431,410
2275,1253,40
2276,976,69
2277,813,159
2278,629,732
2279,787,1122
2280,394,990
2281,491,131
2282,669,125
2283,626,133
2284,1168,869
2285,744,676
2286,806,1153
2287,617,451
2288,976,1239
2289,338,922
2290,436,1038
2291,1164,1220
2292,1297,267
2293,506,173
2294,572,1080
2295,523,307
2296,776,906
2297,580,328
2298,653,1146
2299,388,1031
2300,1123,608
2301,1114,765
2302,900,461
2303,809,384
2304,661,1144
2305,1288,940
2306,650,1190
2307,886,1188
2308,864,1006
2309,319,467
2310,678,76
2311,545,287
2312,1218,1124
2313,513,1170
2314,235,15
2315,462,237
2316,1180,846
2317,536,1010
2318,541,774
2319,417,401
2320,923,214
2321,517,244
2322,599,865
2323,585,1272
2324,1091,638
2325,839,1054
2326,900,1273
2327,575,551
2328,266,112
2329,824,960
2330,631,818
2331,90,307
2332,763,397
2333,486,1059
2334,146,533
2335,541,77
2336,1134,825
2337,69,347
2338,978,252
2339,534,561
2340,893,1235
2341,393,1053
2342,638,1179
2343,1212,515
2344,631,580
2345,676,1079
2346,311,145
2347,881,237
2348,1255,1243
2349,691,356
2350,1239,1151
2351,485,650
2352,804,919
2353,454,947
2354,700,95
2355,1009,1099
2356,674,1059
2357,109,114
2358,317,953
2359,584,30
2360,212,1218
2361,1117,1141
2362,991,313
2363,1310,370
2364,528,474
2365,287,285
2366,891,1298
2367,416,229
2368,628,392
2369,394,1247
2370,726,1202
2371,1099,751
2372,393,7
2373,431,304
2374,32,1066
2375,1261,1272
2376,3,128
2377,686,1065
2378,148,273
2379,1081,713
2380,454,1064
2381,19,1068
2382,159,258
2383,9,1231
2384,630,25
2385,1281,188
2386,812,1014
2387,872,985
2388,693,866
2389,353,229
2390,380,590
2391,31,952
2392,15,193
2393,900,506
2394,321,988
2395,45,730
2396,71,183
2397,452,326
2398,1115,877
2399,567,1075
2400,1013,17
2401,425,813
2402,784,284
2403,332,651
2404,614,1174
2405,274,253
2406,866,1278
2407,655,444
2408,726,619
2409,201,1032
2410,965,1051
2411,1191,39
2412,1091,997
2413,1281,1119
2414,1249,91
2415,219,1253
2416,184,979
2417,100,548
2418,506,643
2419,728,1249
2420,856,450
2421,497,198
2422,606,198
2423,621,86
2424,1171,1178
2425,428,969
2426,580,789
2427,876,936
2428,506,210
2429,534,875
2430,258,1169
2431,397,239
2432,503,517
2433,168,534
2434,380,862
2435,409,135
2436,45,298
2437,447,885
2438,146,1259
2439,108,120
2440,335,68
2441,929,481
2442,744,980
2443,773,236
2444,238,1051
2445,784,55
2446,720,323
2447,660,1305
2448,383,280
2449,306,687
2450,780,1133
2451,843,695
2452,253,257
2453,448,630
2454,1259,703
2455,27,580
2456,1012,533
2457,1160,353
2458,608,901
2459,511,1250
2460,9,352
2461,1172,1190
2462,614,208
2463,1184,619
2464,1227,1213
2465,235,1027
2466,717,1154
2467,172,333
2468,827,801
2469,1152,1251
2470,1169,1163
2471,152,642
2472,798,843
2473,107,220
2474,345,327
2475,425,80
2476,439,416
2477,1285,1001
2478,90,457
2479,235,1263
2480,778,1002
2481,897,1102
2482,464,1066
2483,556,353
2484,52,449
2485,661,256
2486,366,136
2487,841,936
2488,1311,721
2489,624,1130
2490,14,1209
2491,801,1023
2492,174,407
2493,427,1139
2494,241,2
2495,1166,1130
2496,1175,208
2497,531,65
2498,202,173
2499,1164,110
2500,532,137
2501,427,878
2502,546,886
2503,1229,229
2504,781,1282
2505,552,1237
2506,1154,929
2507,672,658
2508,497,610
2509,208,1236
2510,623,509
2511,758,1134
2512,623,102
2513,446,488
2514,881,678
2515,808,880
2516,171,612
2517,661,903
2518,919,194
2519,453,1153
2520,148,358
2521,7,194
2522,892,1127
2523,1219,828
2524,529,779
2525,10,1290
2526,1229,1024
2527,1316,102
2528,651,842
2529,1005,324
2530,972,1010
2531,435,952
2532,172,1149
2533,757,1113
2534,757,964
2535,644,877
2536,537,158
2537,414,1032
2538,441,781
2539,163,912
2540,108,938
2541,472,357
2542,1276,74
2543,880,476
2544,212,978
2545,375,258
2546,330,1211
2547,562,1275
2548,59,1029
2549,923,317
2550,59,1197
2551,887,82
2552,175,1280
2553,286,1287
2554,509,667
2555,660,785
2556,1273,832
2557,852,1141
2558,693,619
2559,882,651
2560,1010,1253
2561,443,763
2562,518,31
2563,967,1075
2564,120,1204
2565,1009,1223
2566,447,363
2567,1259,1112
2568,700,100
2569,48,869
2570,299,615
2571,474,933
2572,832,1196
2573,488,1079
2574,768,937
2575,687,1027
2576,827,44
2577,356,1254
2578,1286,1141
2579,50,977
2580,749,509
2581,930,819
2582,552,218
2583,437,754
2584,773,983
2585,483,582
2586,1299,860
2587,806,1085
2588,971,871
2589,526,423
2590,569,820
2591,1172,1290
2592,207,1089
2593,546,1198
2594,541,293
2595,642,625
2596,693,193
2597,387,422
2598,674,660
2599,473,990
2600,1302,367
2601,1175,282
2602,73,339
2603,339,464
2604,569,401
2605,149,760
2606,745,1075
2607,500,75
2608,637,181
2609,1276,1060
2610,813,1035
2611,93,103
2612,626,1076
2613,282,511
2614,1281,1048
2615,1277,243
2616,970,1031
2617,43,1090
2618,560,458
2619,248,81
2620,1107,640
2621,1138,1170
2622,566,1186
2623,1252,537
2624,1257,1270
2625,777,953
2626,872,1305
2627,798,251
2628,977,770
2629,346,442
2630,112,976
2631,390,1125
2632,781,1126
2633,100,148
2634,900,630
2635,596,1074
2636,387,1149
2637,520,556
2638,881,1026
2639,110,104
2640,484,531
2641,594,959
2642,963,52
2643,834,1186
2644,1077,461
2645,157,1193
2646,516,408
2647,807,279
2648,95,1183
2649,451,1312
2650,764,579
2651,650,1094
2652,680,1296
2653,528,484
2654,522,1220
2655,139,25
2656,822,504
2657,210,1056
2658,341,906
2659,283,428
2660,91,1039
2661,321,493
2662,784,636
2663,274,215
2664,623,1280
2665,240,970
2666,501,561
2667,609,726
2668,907,954
2669,525,1010
2670,716,183
2671,693,659
2672,113,1000
2673,1313,941
2674,584,1048
2675,519,34
2676,758,667
2677,918,829
2678,675,1275
2679,1019,291
2680,946,981
2681,449,1067
2682,206,1143
2683,323,619
2684,218,200
2685,1314,449
2686,256,1099
2687,1300,1072
2688,408,776
2689,74,196
2690,1155,245
2691,646,100
2692,414,212
2693,1019,601
2694,689,25
2695,518,1114
2696,604,163
2697,656,1267
2698,772,1302
2699,603,569
2700,9,1020
2701,677,109
2702,978,1027
2703,387,879
2704,262,60
2705,153,982
2706,768,1121
2707,157,979
2708,103,541
2709,21,829
2710,1298,734
2711,603,289
2712,1311,1031
2713,1297,456
2714,1065,231
2715,822,20
2716,1021,464
2717,448,237
2718,774,1137
2719,390,1185
2720,1142,863
2721,382,1051
2722,693,1091
2723,1276,852
2724,790,758
2725,566,774
2726,185,329
2727,1313,959
2728,368,1229
2729,424,903
2730,509,1215
2731,793,658
2732,685,428
2733,985,962
2734,1130,268
2735,914,1097
2736,1210,325
2737,1055,743
2738,257,1159
2739,124,981
2740,1164,155
2741,1299,975
2742,204,148
2743,401,853
2744,213,1074
2745,213,281
2746,884,1290
2747,134,197
2748,597,1026
2749,268,823
2750,1311,1277
2751,735,296
2752,113,940
2753,469,959
2754,776,793
2755,481,14
2756,761,1
2757,159,100
2758,639,357
2759,103,1058
2760,1238,204
2761,909,11
2762,430,536
2763,375,636
2764,7,748
2765,702,466
2766,678,1004
2767,165,318
2768,736,1138
2769,1171,1251
2770,199,378
2771,37,823
2772,387,1022
2773,485,156
2774,284,1248
2775,521,510
2776,879,746
2777,271,294
2778,837,906
2779,180,598
2780,854,353
2781,1014,1047
2782,550,878
2783,115,914
2784,677,827
2785,344,102
2786,938,492
2787,1189,74
2788,649,1273
2789,1162,12
2790,1230,774
2791,456,44
2792,769,1090
2793,1193,28
2794,1005,821
2795,509,754
2796,891,110
2797,929,1157
2798,293,330
2799,1113,358
2800,726,390
2801,515,1021
2802,1015,483
2803,905,604
2804,415,75
2805,285,477
2806,1258,554
2807,727,640
2808,675,99
2809,707,1004
2810,479,1231
2811,601,1078
2812,174,423
2813,88,797
2814,508,561
2815,247,665
2816,1093,318
2817,737,509
2818,737,1014
2819,971,782
2820,913,2
2821,462,153
2822,130,293
2823,530,217
2824,454,721
2825,848,1065
2826,135,136
2827,409,206
2828,896,1018
2829,545,566
2830,626,658
2831,1312,135
2832,1027,533
2833,1249,270
2834,1229,353
2835,764,942
2836,545,314
2837,778,314
2838,1180,232
2839,618,970
2840,416,815
2841,311,542
2842,903,403
2843,556,639
2844,660,956
2845,1221,1311
2846,118,664
2847,626,543
2848,459,248
2849,1065,1318
2850,775,1132
2851,1106,37
2852,356,16
2853,120,1251
2854,405,278
2855,156,232
2856,1161,227
2857,167,1034
2858,886,845
2859,861,1128
2860,778,219
2861,570,853
2862,223,348
2863,1023,512
2864,817,1247
2865,1240,241
2866,29,550
2867,895,19
2868,470,639
2869,402,748
2870,104,1058
2871,609,1231
2872,726,1035
2873,744,1187
2874,248,1261
2875,353,166
2876,837,565
2877,1016,1026
2878,399,707
2879,1274,570
2880,508,724
2881,27,1225
2882,613,322
2883,688,1315
2884,1088,138
2885,477,941
2886,501,31
2887,1217,490
2888,148,1241
2889,430,493
2890,466,704
2891,395,1300
2892,1238,1155
2893,352,1042
2894,848,341
2895,408,705
2896,193,129
2897,13,1278
2898,1310,805
2899,9,791
2900,340,1043
2901,1204,170
2902,398,1034
2903,1267,289
2904,798,389
2905,368,1031
2906,1181,435
2907,690,237
2908,1275,1073
2909,856,484
2910,432,1226
2911,239,782
2912,89,57
2913,790,1081
2914,471,365
2915,368,444
2916,506,605
2917,801,713
2918,708,337
2919,596,875
2920,85,150
2921,414,102
2922,216,418
2923,1108,370
2924,549,409
2925,632,244
2926,96,1021
2927,187,388
2928,391,1262
2929,762,3
2930,553,932
2931,716,954
2932,233,733
2933,459,1119
2934,291,1236
2935,450,65
2936,386,396
2937,1093,287
2938,958,298
2939,840,1132
2940,834,756
2941,546,363
2942,905,446
2943,504,219
2944,381,639
2945,45,5
2946,239,1044
2947,1236,1025
2948,798,772
2949,535,1030
2950,415,51
2951,688,110
2952,1246,1189
2953,629,950
2954,924,36
2955,1186,685
2956,1059,1008
2957,184,81
2958,473,686
2959,890,1216
2960,723,952
2961,798,495
2962,531,515
2963,260,66
2964,859,900
2965,177,335
2966,852,1046
2967,781,913
2968,691,705
2969,899,1170
2970,510,446
2971,262,233
2972,751,244
2973,327,213
2974,310,420
2975,631,855
2976,192,1286
2977,1289,210
2978,301,227
2979,564,139
2980,526,862
2981,536,400
2982,1198,61
2983,875,132
2984,800,830
2985,602,924
2986,186,1280
2987,623,230
2988,649,875
2989,30,278
2990,917,794
2991,212,1080
2992,998,740
2993,441,590
2994,684,877
2995,401,388
2996,78,169
2997,323,13
2998,1252,393
2999,47,1224
3000,757,3
3001,1214,79
3002,447,1273
3003,122,324
3004,915,1255
3005,128,951
3006,309,1271
3007,500,210
3008,1274,273
3009,938,393
3010,904,211
3011,147,68
3012,992,210
3013,860,239
3014,1234,42
3015,1152,844
3016,545,1207
3017,44,880
3018,1230,622
3019,428,195
3020,688,782
3021,872,723
3022,118,267
3023,41,1282
3024,171,1238
3025,868,753
3026,881,835
3027,117,803
3028,472,684
3029,1148,1268
3030,258,39
3031,132,953
3032,764,631
3033,495,4
3034,772,468
3035,915,20
3036,188,196
3037,346,281
3038,628,931
3039,182,233
3040,624,1251
3041,368,321
3042,489,157
3043,800,789
3044,287,863
3045,1288,810
3046,705,1242
3047,466,438
3048,141,1165
3049,1138,1267
3050,690,229
3051,846,147
3052,781,324
3053,694,969
3054,742,786
3055,119,855
3056,1315,823
3057,577,296
3058,190,498
3059,848,1101
3060,467,1194
3061,160,336
3062,475,1026
3063,454,425
3064,506,433
3065,742,1232
3066,253,464
3067,1021,115
3068,549,749
3069,955,544
3070,978,742
3071,212,827
3072,798,954
3073,560,910
3074,411,349
3075,1262,756
3076,1120,666
3077,27,692
3078,813,445
3079,31,1052
3080,411,407
3081,352,759
3082,1165,889
3083,549,493
3084,1257,1299
3085,1112,740
3086,285,60
3087,830,205
3088,147,862
3089,853,213
3090,641,536
3091,793,708
3092,837,823
3093,519,1295
3094,443,1295
3095,1055,547
3096,489,616
3097,816,1095
3098,1132,442
3099,1100,304
3100,784,862
3101,207,309
3102,434,937
3103,610,806
3104,614,125
3105,1225,923
3106,336,829
3107,1013,349
3108,1201,224
3109,1243,1057
3110,984,1306
3111,80,692
3112,67,591
3113,192,1277
3114,113,179
3115,433,968
3116,1089,560
3117,263,301
3118,637,930
3119,872,77
3120,1107,1153
3121,353,448
3122,1241,1121
3123,519,1177
3124,272,514
3125,1274,1016
3126,560,370
3127,1185,1058
3128,599,843
3129,1308,314
3130,784,1142
3131,1150,783
3132,291,200
3133,938,1215
3134,1083,177
3135,796,878
3136,466,142
3137,539,1272
3138,329,1150
3139,728,65
3140,181,867
3141,908,425
3142,337,1211
3143,115,257
3144,811,843
3145,936,1315
3146,792,257
3147,241,1033
3148,1089,1138
3149,589,51
3150,1022,330
3151,1294,563
3152,1131,858
3153,858,56
3154,434,179
3155,1259,81
3156,252,294
3157,408,632
3158,930,327
3159,818,1005
3160,925,20
3161,342,40
3162,1061,681
3163,872,1246
3164,811,762
3165,1048,1213
3166,968,173
3167,500,82
3168,286,949
3169,905,1
3170,303,1011
3171,286,814
3172,265,274
3173,790,375
3174,937,1085
3175,296,38
3176,1318,355
3177,709,872
3178,779,114
3179,1276,6
3180,113,29
3181,96,648
3182,737,751
3183,1208,193
3184,375,646
3185,961,991
3186,618,235
3187,1299,938
3188,1257,186
3189,473,676
3190,100,393
3191,431,239
3192,66,1092
3193,192,338
3194,890,1100
3195,512,802
3196,932,1293
3197,961,512
3198,517,250
3199,494,347
3200,174,106
3201,715,1132
3202,169,1152
3203,925,343
3204,709,568
3205,266,1297
3206,807,1189
3207,724,320
3208,96,1011
3209,868,666
3210,676,172
3211,609,620
3212,777,952
3213,1227,567
3214,36,244
3215,43,1293
3216,954,428
3217,828,934
3218,485,768
3219,426,483
3220,59,561
3221,1219,1156
3222,833,596
3223,874,940
3224,746,1054
3225,1,1158
3226,1058,954
3227,879,498
3228,209,996
3229,262,43
3230,894,509
3231,169,703
3232,119,228
3233,62,1293
3234,13,278
3235,1232,1130
3236,624,1000
3237,1285,203
3238,1224,1303
3239,1213,1170
3240,107,1230
3241,1084,1261
3242,1012,724
3243,98,45
3244,1242,844
3245,211,1308
3246,107,198
3247,254,111
3248,146,1310
3249,1311,219
3250,936,1107
3251,313,88
3252,1059,359
3253,626,285
3254,1082,116
3255,587,524
3256,539,500
3257,434,1015
3258,16,1025
3259,716,763
3260,624,656
3261,287,783
3262,382,394
3263,114,317
3264,424,692
3265,55,1202
3266,610,452
3267,903,878
3268,801,593
3269,127,176
3270,547,608
3271,550,875
3272,510,350
3273,523,1212
3274,1247,1237
3275,258,1300
3276,30,1136
3277,794,1006
3278,170,1118
3279,896,171
3280,510,204
3281,405,1095
3282,983,1300
3283,128,95
3284,749,579
3285,535,121
3286,510,303
3287,824,737
3288,1128,369
3289,637,713
3290,1227,367
3291,788,102
3292,172,492
3293,780,1001
3294,1119,687
3295,575,1099
3296,975,359
3297,620,689
3298,291,871
3299,380,652
3300,984,249
3301,709,467
3302,967,103
3303,426,370
3304,575,1315
3305,946,371
3306,1311,935
3307,661,976
3308,971,1262
3309,850,95
3310,110,558
3311,1128,1220
3312,172,216
3313,990,45
3314,374,795
3315,571,266
3316,202,938
3317,1002,1028
3318,323,662
3319,282,542
3320,466,521
3321,589,1189
3322,781,883
3323,4,284
3324,710,21
3325,120,1286
3326,1256,1037
3327,1120,305
3328,130,1026
3329,274,938
3330,436,236
3331,622,1074
3332,585,689
3333,915,374
3334,397,1085
3335,594,519
3336,1116,186
3337,767,754
3338,167,934
3339,89,100
3340,751,1001
3341,649,958
3342,806,168
3343,284,1165
3344,865,142
3345,636,555
3346,850,1112
3347,864,881
3348,110,170
3349,112,748
3350,750,161
3351,1311,825
3352,587,386
3353,779,979
3354,107,7
3355,1274,1168
3356,1198,351
3357,550,928
3358,238,236
3359,390,1015
3360,216,1131
3361,1281,943
3362,80,156
3363,456,437
3364,65,281
3365,75,642
3366,4,855
3367,303,490
3368,19,1298
3369,813,834
3370,7,257
3371,529,1317
3372,856,265
3373,477,1278
3374,103,745
3375,1020,759
3376,291,1280
3377,504,1065
3378,485,491
3379,520,1043
3380,362,1161
3381,309,259
3382,945,42
3383,532,272
3384,623,280
3385,212,446
3386,110,1225
3387,837,20
3388,617,957
3389,328,177
3390,1151,228
3391,837,324
3392,174,1182
3393,1235,487
3394,580,63
3395,1145,938
3396,640,1
3397,791,724
3398,807,1245
3399,637,201
3400,1213,233
3401,450,676
3402,1022,14
3403,1207,1143
3404,791,948
3405,6,339
3406,1282,1051
3407,760,906
3408,910,92
3409,427,760
3410,1048,167
3411,415,727
3412,754,385
3413,924,1219
3414,197,1143
3415,793,380
3416,999,1034
3417,1092,10
3418,517,819
3419,108,1056
3420,572,1249
3421,386,3
3422,781,1277
3423,181,1054
3424,1157,814
3425,607,1019
3426,546,600
3427,155,751
3428,392,795
3429,450,1265
3430,805,910
3431,166,167
3432,486,586
3433,546,359
3434,368,122
3435,1162,190
3436,1119,1108
3437,133,692
3438,450,750
3439,569,141
3440,1217,182
3441,1049,754
3442,90,2
3443,713,1293
3444,58,1025
3445,602,919
3446,693,959
3447,961,111
3448,747,949
3449,919,1004
3450,968,1251
3451,1089,1085
3452,690,896
3453,546,1098
3454,389,293
3455,588,1146
3456,539,311
3457,1030,465
3458,1035,1246
3459,54,1
3460,835,234
3461,18,133
3462,913,898
3463,242,770
3464,757,46
3465,438,860
3466,22,588
3467,902,672
3468,676,1163
3469,518,285
3470,776,1240
3471,963,1242
3472,601,6
3473,3,1224
3474,98,1118
3475,115,782
3476,795,530
3477,338,941
3478,1097,871
3479,551,1265
3480,122,154
3481,495,977
3482,228,322
3483,784,526
3484,1288,1051
3485,552,933
3486,58,440
3487,790,1278
3488,258,740
3489,605,1318
3490,266,1101
3491,17,1041
3492,1035,889
3493,744,284
3494,490,217
3495,320,1064
3496,908,534
3497,1,75
3498,1242,740
3499,683,1220
3500,125,911
3501,1128,157
3502,571,720
3503,485,991
3504,674,855
3505,996,361
3506,254,965
3507,598,234
3508,680,1244
3509,691,941
3510,756,1070
3511,1025,1059
3512,794,944
3513,1285,1006
3514,447,719
3515,1061,175
3516,720,1081
3517,87,1251
3518,661,1279
3519,580,368
3520,1034,164
3521,34,88
3522,252,327
3523,563,997
3524,1026,1313
3525,870,678
3526,879,943
3527,703,836
3528,283,665
3529,1312,574
3530,70,843
3531,1019,350
3532,1056,1052
3533,580,285
3534,520,450
3535,501,86
3536,495,1046
3537,859,673
3538,1170,275
3539,362,1067
3540,708,886
3541,924,1077
3542,266,78
3543,1180,9
3544,523,900
3545,55,393
3546,626,724
3547,828,888
3548,569,588
3549,779,365
3550,733,724
3551,602,850
3552,1193,161
3553,1191,373
3554,12,1132
3555,842,396
3556,990,264
3557,221,1017
3558,653,400
3559,265,1015
3560,841,1016
3561,880,564
3562,201,287
3563,5,1022
3564,790,208
3565,748,335
3566,793,1271
3567,923,318
3568,1236,163
3569,504,436
3570,813,1258
3571,454,799
3572,373,335
3573,199,11
3574,666,315
3575,870,26
3576,599,510
3577,1312,882
3578,748,788
3579,407,1171
3580,1222,845
3581,438,161
3582,1267,277
3583,497,104
3584,1219,230
3585,623,595
3586,546,723
3587,1281,190
3588,949,952
3589,1009,1053
3590,835,242
3591,17,741
3592,459,1263
3593,430,1223
3594,858,1235
3595,1237,734
3596,619,795
3597,477,145
3598,622,165
3599,812,868
3600,415,127
3601,1174,255
3602,1049,1005
3603,883,212
3604,571,536
3605,819,61
3606,856,414
3607,108,146
3608,104,1129
3609,148,7
3610,103,257
3611,744,610
3612,471,365
3613,832,1162
3614,749,1167
3615,594,1302
3616,493,253
3617,915,182
3618,521,177
3619,1009,647
3620,341,1295
3621,672,743
3622,1138,175
3623,436,1219
3624,17,843
3625,416,1176
3626,592,711
3627,555,482
3628,924,785
3629,410,1175
3630,546,873
3631,508,700
3632,781,870
3633,1311,834
3634,1224,533
3635,287,371
3636,242,1075
3637,408,1220
3638,1004,224
3639,853,995
3640,304,428
3641,302,437
3642,821,927
3643,341,906
3644,90,337
3645,909,312
3646,500,931
3647,167,1113
3648,1293,796
3649,738,968
3650,1039,172
3651,323,1137
3652,1033,826
3653,703,555
3654,758,1022
3655,214,1305
3656,20,751
3657,972,67
3658,372,1006
3659,687,751
3660,479,409
3661,779,666
3662,135,940
3663,1230,1193
3664,785,393
3665,731,194
3666,130,217
3667,431,393
3668,1142,298
3669,224,844
3670,895,786
3671,839,1220
3672,801,461
3673,445,1234
3674,1013,1161
3675,476,277
3676,890,1098
3677,682,764
3678,299,792
3679,1181,1002
3680,600,257
3681,1206,803
3682,619,200
3683,929,1260
3684,976,182
3685,934,38
3686,17,1253
3687,659,524
3688,924,776
3689,878,993
3690,1133,1102
3691,27,1279
3692,675,516
3693,208,1103
3694,1187,50
3695,151,12
3696,680,999
3697,1054,242
3698,1149,1288
3699,1191,1240
3700,1105,180
3701,172,724
3702,851,566
3703,1259,991
3704,519,1025
3705,222,588
3706,599,668
3707,927,1206
3708,466,527
3709,1234,150
3710,779,237
3711,749,425
3712,579,560
3713,649,773
3714,541,429
3715,405,590
3716,671,840
3717,777,275
3718,1167,1170
3719,254,412
3720,68,196
3721,918,847
3722,115,128
3723,635,819
3724,1200,1093
3725,1246,1061
3726,432,1167
3727,196,492
3728,1134,412
3729,353,1169
3730,205,1208
3731,1016,1010
3732,1217,889
3733,1174,292
3734,873,1118
3735,635,263
3736,861,703
3737,122,1180
3738,253,975
3739,417,1014
3740,862,505
3741,961,295
3742,572,676
3743,811,845
3744,676,616
3745,1143,756
3746,466,1008
3747,1120,363
3748,1275,1169
3749,816,787
3750,174,581
3751,466,767
3752,733,60
3753,182,1115
3754,1021,467
3755,391,224
3756,538,307
3757,267,654
3758,382,594
3759,1217,406
3760,320,359
3761,985,58
3762,744,382
3763,168,160
3764,690,278
3765,812,824
3766,27,293
3767,108,314
3768,1084,1024
3769,708,393
3770,605,337
3771,738,905
3772,1299,1212
3773,446,123
3774,387,453
3775,454,799
3776,33,22
3777,697,1028
3778,277,279
3779,590,696
3780,557,482
3781,630,980
3782,980,169
3783,859,556
3784,900,475
3785,556,538
3786,260,217
3787,1118,1231
3788,522,139
3789,863,554
3790,994,1137
3791,786,1293
3792,516,935
3793,44,1222
3794,383,938
3795,234,213
3796,435,1152
3797,564,1277
3798,737,368
3799,65,358
3800,716,965
3801,279,370
3802,504,650
3803,546,346
3804,359,429
3805,1138,181
3806,1244,1255
3807,254,858
3808,155,380
3809,584,1050
3810,1117,1254
3811,251,1097
3812,46,618
3813,881,42
3814,82,964
3815,130,923
3816,368,1297
3817,818,1293
3818,1093,1288
3819,368,1192
3820,1312,954
3821,1306,234
3822,476,997
3823,15,281
3824,368,899
3825,462,1260
3826,109,743
3827,914,300
3828,286,85
3829,1262,13
3830,500,1184
3831,262,274
3832,592,836
3833,497,1292
3834,377,383
3835,1105,66
3836,749,327
3837,36,198
3838,179,1172
3839,569,134
3840,46,1058
3841,811,436
3842,1216,951
3843,18,630
3844,873,1028
3845,790,1065
3846,188,789
3847,571,672
3848,262,193
3849,1212,704
3850,107,993
3851,743,547
3852,895,786
3853,932,534
3854,825,825
3855,699,912
3856,130,590
3857,1207,66
3858,502,940
3859,1009,562
3860,1100,193
3861,519,1048
3862,678,662
3863,201,666
3864,900,918
3865,1057,833
3866,1070,955
3867,917,27
3868,636,448
3869,1009,699
3870,660,5
3871,429,1028
3872,471,648
3873,485,1010
3874,773,114
3875,1024,33
3876,674,861
3877,909,426
3878,1185,640
