id,paragraph_lemmatized
274,но не кувшин я духовный взор увидеть в они рука а прах отцов говорят что я пьянствовать вечно готовый я таков что я ринд и что идол чтить как бог я таков каждый пусть полагать спорить не быть знать хороший они сам про себя я каков я таков доколь жизненный беда свой сокрушать сердце ты носить печаль свой едва ль донести до конец не в наш рука твой дело и мой и здесь покориться судьба не хороший ль для мудрец
275,такой лицо суд мочь назначить принудительный мера медицинский характер о порядок медицинский освидетельствование осудить представлять к освобождение от отбывание наказание в связь с болезнь и перечень заболевание препятствовать отбывание наказание сантиметр постановление правительство рф от 2004 54 лицо заболеть после совершение преступление иной тяжёлый болезнь препятствовать отбывание наказание мочь быть суд освободить от отбывание наказание военнослужащий отбывать арест либо содержание в дисциплинарный воинский часть освобождаться от дальнейший отбывание наказание в случай заболевание делать они негодный к военный служба неотбытый часть наказание мочь быть заменить имя более мягкий вид наказание
276,часть три ввести федеральный закон от 2003 162 фз статья 220 незаконный обращение с ядерный материал или радиоактивный вещество в ред федеральный закон от 1999 26 фз 1 незаконный приобретение хранение использование передача или разрушение ядерный материал или радиоактивный вещество в ред федеральный закон от 1999 26 фз наказываться ограничение свобода на срок до два год либо арест на срок до четыре месяц либо лишение свобода на срок до два год
277,сказать чиклин и вылезти из ям в барак он чтобы не верить ум подойти к наст и попробовать она голова потом он прислонить свой рука к лоб елисей проверять он жизнь по тепло отчего ж она холодный а ты горячий спросить чиклин и не слышать ответ потому что он ум теперь сам забыться далее чиклин сидеть весь время на земляной пол и проснуться жачев тоже находиться с он хранить неподвижно в рука бутылка сливка и два пирожное а елисей весь ночь без сон дышать на девочка теперь утомиться и уснуть ряд с она и спасть пока не услышать ржать голос родные обобществить лошадь
278,увы не знать куда умчаться где теперь она когда б скрижаль судьба я вдруг подвластный стать я весь бы стереть с нея и весь писать сначала из мир я печаль изгнать бы навсегда чтоб радость голова до небо доставать ты коварство бежать небо опасаться нет друг у ты а с враг не знаться не надеяться на завтра сегодня живить стать себя сам хоть на миг попытаться месяц дея уступать цветущий весна книга жизнь подходить к конец в тишина огорчение мир яд смертельный а противоядие в вина
279,жачев сейчас же одеть активист он собственный пиджак и одновременно пощупать человек насколько он целый так себя средний радоваться ответить жачев да это весь равно товарищ чиклин твой рука работать как кувалда ты тут ни при чем а он горячее ребёнок не раздевать мочь чай скипятить и согреться в деревня подняться снежный метель хотя буря быть не слышный открыть на проверка окно жачев увидеть что это колхоз мести снег для гигиена мужик не нравиться теперь что снег засидеть муха они хотеть более чистый зима
280,федеральный закон от 2003 162 фз 2 тот же деяние совершенный группа лицо по предварительный сговор или организовать группа в ред федеральный закон от 2003 162 фз наказываться штраф в размер от сто тысяча до триста тысяча рубль или в размер заработный плата или иной доход осудить за период от один год до два год либо ограничение свобода на срок до три год либо арест на срок от три до шесть месяц либо лишение свобода на срок до четыре год
281,федеральный закон от 2003 162 фз статья 166 неправомерный завладение автомобиль или иной транспортный средство без цель хищение 1 неправомерный завладение автомобиль или иной транспортный средство без цель хищение угон наказываться штраф в размер до сто двадцать тысяча рубль или в размер заработный плата или иной доход осудить за период до один год либо ограничение свобода на срок до три год либо арест на срок от три до шесть месяц либо лишение свобода на срок до пять год федеральный закон от 2003 162 фз 2
282,коврик молитвенный в дом питейный заложить склянка позор и честь смеяться разбить рок неверный гневный не огорчаться древний мир плачевный не огорчаться что случиться прошлый а что быть не видно ради суета удел двухдневный не огорчаться быть весёлый праздник вновь прославить быть пир начаться пост оставить быть день два пройти и он от весь невзгода избавить быть в любовь к ты не страшный я укор с невежда я не вступать в спорый любовный кубок исцеление муж а не муж падение и позор
283,назначение наказание по совокупность преступление 1 при совокупность преступление наказание назначаться отдельно за каждый совершенный преступление если весь преступление совершенный по совокупность являться преступление небольшой и средний тяжесть то окончательный наказание назначаться путём поглощение менее строгий наказание более строгий либо путём частичный или полный сложение назначить наказание при это окончательный наказание не мочь превышать более чем наполовину максимальный срок или размер наказание предусмотренный за наиболее тяжкий из совершенный преступление федеральный закон от 2003 162 фз 3 если хотя бы один из преступление совершенный по совокупность являться тяжкий или особо тяжкий преступление то окончательный наказание назначаться путём частичный или полный сложение наказание
284,мёртвый не шуметь сказать вощев мужик не быть согласно ответить лежачий и замереть счастливый что угодить власть остывать пощупать вощев шея мужик тушить лампада сказать чиклин над он огонь гореть а он глаз зажмурить вот где никакой скупость на революция выйти на свежий воздух чиклин и вощев встретить активист он идти в по дело культурный революция после тот он обязать быть ещё обойти весь средний единоличник остаться без колхоз чтобы убедить они в неразумность огородить дворовый капитализм
285,жачев убеждать вощева что он желание безумный потому что вражий имущий сила вновь происходить и загораживать свет жизнь надо лишь сберечь ребёнок как нежность революция и оставить имя наказ а что товарищ сказать однажды сафронов не поставить ли мы радио для заслушание достижение и директива у мы есть здесь отсталый масса который полезный быть бы культурный революция и всякий музыкальный звук чтоб они не скоплять в себя тёмный настроение хороший привести за ручка чем твой радио возразить жачев а какой товарищ жачев заслуга или поучение в твой девочка
286,аз же покропить вода окошко и бес сойти в жерновый угол 103 брат же и там ево указывать аз же и там покропить вода бес же оттоле пойти на печь аз же и там той же вода брат же указать под печь а сам перекреститься и аз не пойти за бес но напоить святой вода брат в имя господний он же воздохня из глубина сердце сица к я проглагол спасти бог ты батюшко что ты я отнять у царевич и два князь бесовский
287,но кузнец послать он за дрова чтобы нажечь из они потом уголь и медведь принести целый подходящий плетень настя глядеть на почернеть обгорелый медведь радоваться что он за мы а не за буржуй он ведь тоже мучиться он значит наш правда ведь говорить настя раздаться гул колокол и медведь мгновенно оставить без внимание свой труд до тот он ломать плетень на мелкий часть а теперь сразу выпрямиться и надёжно вздохнуть шабаш дескать опустить лапа в вёдро с вода чтоб отмыть на они чистота он затем выйти вон для получение еда
288,федеральный закон от 2003 162 фз 2 тот же деяние причинить существенный вред здоровье человек животный или растительный мир рыбный запас окружающий среда зона отдых либо другой охранять закон интерес наказываться лишение свобода на срок до два год с штраф в размер до сорок тысяча рубль или в размер заработный плата или иной доход осудить за период до три месяц федеральный закон от 2003 162 фз 3 деяние предусмотренный часть один или два настоящий статья повлечь по неосторожность смерть человек наказываться лишение свобода на срок до пять год
289,федеральный закон от 2003 162 фз в в крупный размер наказываться лишение свобода на срок от три до восемь год размер запретить к возделывание растение содержимый наркотический вещество для цель настоящий статья утверждаться правительство российский федерация примечание ввести федеральный закон от 2003 162 фз статья 232 организация либо содержание притон для потребление наркотический средство или психотропный вещество 1 организация либо содержание притон для потребление наркотический средство или психотропный вещество наказываться лишение свобода на срок до четыре год
290,федеральный закон от 2003 162 фз 2 тот же деяние совершенный с использование средство массовый информация наказываться лишение свобода на срок до пять год с лишение право занимать определённый должность или заниматься определённый деятельность на срок до три год федеральный закон от 1999 156 фз от 2003 162 фз статья 281 совершение взрыв поджог или иной действие направить на разрушение или повреждение предприятие сооружение путь и средство сообщение средство связь объект жизнеобеспечение население в цель подрыв экономический безопасность и обороноспособность российский федерация наказываться лишение свобода на срок от десять до пятнадцать год
291,а протопопица кричать что ты батька я задавить я прийти на я бедный пенять говорить долго ли мука сеять протопоп быть и я говорить марко до самый смерть она же вздохня отвещать добро петровичь ино ещё побрести курочка у мы черненек быть по два яичко на день приносить робять на пища божий повеление нужда наш помогать бог так строить на нарта везучий в то время удавить по грех
292,федеральный закон от 2003 162 фз статья 47 лишение право занимать определённый должность или заниматься определённый деятельность 1 лишение право занимать определённый должность или заниматься определённый деятельность состоять в запрещение занимать должность на государственный служба в орган местный самоуправление либо заниматься определённый профессиональный или иной деятельность лишение право занимать определённый должность или заниматься определённый деятельность устанавливаться на срок от один год до пять год в качество основный вид наказание и на срок от шесть месяц до три год в качество дополнительный вид наказание лишение право занимать определённый должность или заниматься определённый деятельность мочь назначаться в качество дополнительный вид наказание и в случай когда оно не предусмотреть соответствующий статья особенный часть настоящий кодекс в качество наказание за соответствующий преступление если с учёт характер и степень общественный опасность совершенный преступление и личность виновный суд признать невозможный сохранение за он право занимать определённый должность или заниматься определённый деятельность
293,мы не надолго в этот мир прислать и слеза скорбь и горе обрести мы наш беда узда не разрешить уйти и горечь в душа унести весь не свершаться кругом недостижимый цель в скитание земной и в дума горестный сидеть на перепутье что поздно мы прислать что рано мы уйти жизнь то шербет на лёд а то отстой вино плоть бренный в парча в тряпьё ль облачить весь это мудрец поверьте безразличный но горько сознавать что жизнь обречь весь что ты в мир изучить ничто весь что слыхать и говорить ничто и весь что свидетель быть ничто весь что так дорого купить ничто
294,жестокий обращение с животный повлечь они гибель или увечье если это деяние совершить из хулиганский побуждение или из корыстный побуждение или с применение садистский метод или в присутствие малолетний наказываться штраф в размер до восемьдесят тысяча рубль или в размер заработный плата или иной доход осудить за период до шесть месяц либо исправительный работа на срок до один год либо арест на срок до шесть месяц федеральный закон от 2003 162 фз 2 то же деяние совершенный группа лицо группа лицо по предварительный сговор или организовать группа в ред
295,уголовный ответственность за причинение такой вред нести лицо отдать незаконный приказ или распоряжение лицо совершить умышленный преступление в исполнение заведомо незаконный приказ или распоряжение нести уголовный ответственность на общий основание неисполнение заведомо незаконный приказ или распоряжение исключать уголовный ответственность наказание есть мера государственный принуждение назначать по приговор суд наказание применяться к лицо признанный виновный в совершение преступление и заключаться в предусмотренный настоящее кодекс лишение или ограничение право и свобода это лицо наказание применяться в цель восстановление социальный справедливость а также в цель исправление осудить и предупреждение совершение новый преступление
296,федеральный закон от 2003 162 фз от 2004 73 фз 2 то же деяние совершенный группа лицо по предварительный сговор либо в крупный размер в ред федеральный закон от 2003 162 фз наказываться штраф в размер от сто тысяча до триста тысяча рубль или в размер заработный плата или иной доход осудить за период от один год до два год либо лишение свобода на срок до три год с штраф в размер до восемьдесят тысяча рубль или в размер заработный плата или иной доход осудить за период до шесть месяц либо без таковой
297,федеральный закон от 2004 73 фз статья 197 фиктивный банкротство фиктивный банкротство то есть заведомо ложный объявление руководитель или собственник коммерческий организация а равно индивидуальный предприниматель о свой несостоятельность в цель введение в заблуждение кредитор для получение отсрочка или рассрочка причитаться кредитор платёж или скидка с долг а равно для неуплата долг если это деяние причинить крупный ущерб наказываться штраф в размер от сто тысяча до триста тысяча рубль или в размер заработный плата или иной доход осудить за период от один год до два год либо лишение свобода на срок до шесть год с штраф в размер до восемьдесят тысяча рубль или в размер заработный плата или иной доход осудить за период до шесть месяц либо без таковой
298,пусть он не дать мы счастие довольно с мы и покой ибо многий он слеза и мука вечный дать жаль что впустую жизнь мы провести что в ступа суета мы истолочь моргнуть мы не успеть глаз и не достигнуть ничто уйти и лицо и волос ваш красивый вы как кипарис стройный горделивый и весь же никак не мочь я понять зачем в цветник у творец возрасти вы коль в род отличить мыть ты признак родовой сак то сто различие видовой возникнуть пред ты сак
299,склониться корпус от доверчивый надежда чиклин пойти по дворовый задать смотреть вощева далёкий он перелезать через плетнёвый устройство проходить мимо глиняный стена жилища укреплять накрениться кол и постоянно видеть как от тощий загородка сразу начинаться бесконечный порожний зима настя сметь мочь застынуть в такой чужое мир потому что земля состоять не для зябнуть детство только такой как молотобоец мочь вытерпеть здесь свой жизнь и то поседеть от нея я ещё не рожаться а ты уж лежалый бедный неподвижный мой сказать вблизи голос вощева человек
300,посягательство на жизнь государственный или общественный деятель посягательство на жизнь государственный или общественный деятель совершенный в цель прекращение он государственный или иной политический деятельность либо из месть за такой деятельность террористический акт наказываться лишение свобода на срок от двенадцать до двадцать год либо пожизненный лишение свобода либо смертный казнь федеральный закон от 2004 73 фз статья 278 насильственный захват власть или насильственный удержание власть действие направить на насильственный захват власть или насильственный удержание власть в нарушение конституция российский федерация а равно направить на насильственный изменение конституционный строй российский федерация наказываться лишение свобода на срок от двенадцать до двадцать год
301,федеральный закон от 2003 162 фз статья 316 укрывательство преступление заранее не обещать укрывательство особо тяжкий преступление наказываться штраф в размер до двести тысяча рубль или в размер заработный плата или иной доход осудить за период до восемнадцать месяц либо арест на срок от три до шесть месяц либо лишение свобода на срок до два год федеральный закон от 2003 162 фз примечание лицо не подлежать уголовный ответственность за заранее не обещать укрывательство преступление совершенный он супруг или близкие родственник преступление против порядок управление статья 317
302,от свой безвыходный тепло девочка стать весь смуглый и покорный только ум она печально думать я опять к мама хотеть произнести она не открывать глаз нету твой матерь не радоваться сказать жачев от жизнь весь умирать оставаться один костя это плакать в колхоз чиклин готовно прислушаться но весь быть тихо кругом никто не плакать не от что быть заплакать день уже дойти до свой середина высоко светить бледный солнце над округ далёкий масса двигаться по горизонт на неизвестный межселенный собрание ничто не мочь шуметь
303,дверь дом отвориться и в нея раздаться шум мучение из деревня войти человек стереть мокрота с одежда а потом сказать товарищ актив там снег пойти и холод дуть пускай идти что мы ничто мы хоть что ни случиться мы управиться вполне согласиться явиться пожилой бедняк он быть постоянно удивлённый что ещё живой на свет потому что ничто не иметь кроме овощ с дворовый огород и бедняцкий льгота и не мочь никак добиться высокий довольный жизнь ты я товарищ главный сказать на утеха писаться я в колхоз на покоить иль обождать
304,а сам ждать по себя и сидеть жена плачющи и ребёнок говорить воля господний да быть аще жить господевить жить аще умирать господевить умирать а се и бежать по я два палач чюдно дело господний и неизреченный судьба владычнуть еремей раненый дорожка мимо изба и двор моевый ехать и палач вскликать и воротить с себя он же пашков оставить застенок к сын свой прийти яко пьяный с кручина и еремей поклонясти с отец весь он подробнуть возвещать как войско у он побить весь без остаток и как ево увести иноземец от мунгальский человек по пустой место и как по каменный гор в леса не ядший блудить седмить день один съесть белка и как мой образ человек он в сон явиться и благословить ево указать дорога в который страна ехать он же вскотать обрадоваться и на путь выбрести
305,плюнуть на действо то и служба тот они да и на книга тот они новоизданный так и ладный быть стать говорить како угодить христос и пречистый богородица а про воровство они полно говорить простить барт никониян что избранить вы живить как хотеть стать опять про свой горе говорить как вы я 20 год тот уж прошлый ещё бы хотя столько же бог пособить помучитце от вы ино бы и быть с я о господь боз и спас наш исуса христя
306,сельсоветский лампа безрасчётный горелый над они до утро когда в помещение явиться елисей и тоже не потушить огонь он быть весь равно что свет что тьма он без польза постоялый некоторый время и выйти так же как прийти прислониться грудь к воткнуть для флаг жердина елисей уставиться в мутный сырость порожний место на тот место собраться грач для отлёт в тёплый даль хотя время они расставание с здешний земля ещё не наступить ещё ранее отлёт грач елисей видеть исчезновение ласточка и тогда он хотеть быть стать лёгкое малосознательный тело птица но теперь он уже не думать чтобы обратиться в грач потому что думать не мочь
307,судьба как тать в ночь прийти и унести пожитки жизнь наш быть жизнь ты хоть в триста год дать но весь равно она обречь быть ты халиф или базарный нищий в конечный счёт весь один цена мир мгновение и я в немой мгновение один сколько вздох я сделать за миг суждено это бренный здание никто в владение навек не дать друг не тревожиться удел свой вверять судьба и не горевать о потеря в напрасный борьба ибо когда разорваться каба твой жизнь что не сбыться что сбыться безразличный ты
308,федеральный закон от 2003 162 фз статья 311 разглашение сведение о мера безопасность применять в отношение судья и участник уголовный процесс 1 разглашение сведение о мера безопасность применять в отношение судья присяжный заседатель или иной лицо участвовать в отправление правосудие судебный пристав судебный исполнитель потерпевший свидетель другой участник уголовный процесс а равно в отношение они близкие если это деяние совершить лицо который этот сведение быть доверить или стать известный в связь с он служебный деятельность наказываться штраф в размер до двести тысяча рубль или в размер заработный плата или иной доход осудить за период до восемнадцать месяц либо ограничение свобода на срок до два год либо арест на срок до четыре месяц
309,вопрошать небо светить над вощев мучительный силой звезда но в город уже быть потушить огонь и кто иметь возможность тот спасть наесться ужин вощев спуститься по крошка земля в овраг и лечь там живот вниз чтобы уснуть и расстаться с себя но для сон нужный быть покоить ум доверчивость он к жизнь прощение прожить горе а вощев лежалый в сухой напряжение сознательность и не знать полезный ли он в мир или весь без он благополучно обойтись из неизвестный место подуть ветер чтобы человек не задохнуться и слабый голос сомнение дать знать о свой служба пригородный собака
310,федеральный закон от 2002 72 фз наказываться штраф в размер до двести тысяча рубль или в размер заработный плата или иной доход осудить за период до восемнадцать месяц либо лишение право занимать определённый должность или заниматься определённый деятельность на срок до три год с штраф в размер до восемьдесят тысяча рубль или в размер заработный плата или иной доход осудить за период до шесть месяц либо обязательный работа на срок от сто двадцать до сто восемьдесят часы федеральный закон от 2003 162 фз 2 тот же деяние совершенный в нарушение вступить в законный сила судебный акт а равно причинить крупный ущерб наказываться лишение право занимать определённый должность или заниматься определённый деятельность на срок до пять год с штраф в размер до восемьдесят тысяча рубль или в размер заработный плата или иной доход осудить за период до шесть месяц либо обязательный работа на срок от сто восемьдесят до двести сорок часы либо арест на срок от четыре до шесть месяц либо лишение свобода на срок до два год
311,ты дверь отрада я закрыть о господь ты пролить на земля вино пурпурный беда я или пьяный ты быть о господь тот гончар что как чаша у мы череп округлить впрямь искусство в гончарный свой ремесло проявить над широкий суфрой бытие опрокинуть он чаша и весь горечь вселенная под чаша тот заключить ты благо зачем же о грех я думать ты щедрый о хлеб ль на путь я думать коль воскресить ты обелить я зачем о чёрный письмена я думать
312,то же деяние повлечь по неосторожность смерть человек наказываться лишение свобода на срок до пять год деяние предусмотренный частью один настоящий статья повлечь по неосторожность смерть два или более лицо наказываться лишение свобода на срок до семь год федеральный закон от 2003 162 фз статья 264 нарушение правило дорожный движение и эксплуатация транспортный средство 1 нарушение лицо управлять автомобиль трамвай либо другой механический транспортный средство правило дорожный движение или эксплуатация транспортный средство повлечь по неосторожность причинение тяжкий вред здоровье человек в ред
313,далее молотобоец удовлетворенно и протяжно начать рычать сообщать вслух счастливый песня кузница быть открытый в лунный ночь на весь земной светловать поверхность в горн горелый дуть огонь который поддерживать сам кузнец лёжа на земля и потягивать верёвка мех а молотобоец вполне довольный ковать горячее шинный железо и петь песня ну никак заснуть не давать пожаловаться кузнец встать разреветься я он горный зажечь а он и пойти бузовать всегда быть покоить а нынче как с ум сойти вчера вернуться с раскулачка так весь топтаться и бурчать
314,создание организовать группа в случай не предусмотренный статья особенный часть настоящий кодекс влечь уголовный ответственность за приготовление к тем преступление для совершение который она создать совершение преступление группа лицо группа лицо по предварительный сговор организовать группа или преступный сообщество преступный организация влечь более строгий наказание на основание и в предел предусмотренный настоящее кодекс эксцесс исполнитель преступление эксцесс исполнитель признаваться совершение исполнитель преступление не охватываться умысел другой соучастник за эксцесс исполнитель другой соучастник преступление уголовный ответственность не подлежать обстоятельство исключать преступность деяние статья 37 федеральный закон от 2002 29 фз 1
315,часть три ввести федеральный закон от 2003 162 фз статья 218 нарушение правило учёт хранение перевозка и использование взрывчатый легковоспламеняющийся вещество и пиротехнический изделие нарушение правило учёт хранение перевозка и использование взрывчатый легковоспламеняющийся вещество и пиротехнический изделие а также незаконный пересылка этот вещество по почта или багаж если этот деяние повлечь по неосторожность причинение тяжкий вред здоровье или смерть человек в ред федеральный закон от 2003 162 фз наказываться ограничение свобода на срок до пять год либо лишение свобода на срок до пять год с лишение право занимать определённый должность или заниматься определённый деятельность на срок до три год или без таковой
